x, y
0, 1.1172587730157066
0.0035832471137466322, 139.10612499899318
0.005320577390835547, 245.2513814657579
0.006189242529380004, 309.4971834861437
0.006406406535848958, 330.7262254025871
0.009663903083557843, 377.6536256348231
0.022368147821024233, 440.2234222843159
0.03518097911805943, 472.06703204352885
0.04962253590727747, 501.11730733201153
0.07611685452722367, 540.2234507499343
0.1028283280409702, 569.273726038417
0.13399172291967648, 581.0055760964759
0.16558944581132062, 593.8547552543722
