x, y
0.00010857744690016011, -1.1173525421111936
0.002063080843126671, 79.88826876446437
0.004126161686253333, 191.06142413253832
0.005646327956873295, 278.2122499979865
0.005429154837735699, 342.45805201837226
0.017047570430188685, 388.2681465930447
0.03463806454555273, 427.93294283974916
0.05385728415309961, 460.3351819854699
0.07014477600431263, 482.122853288421
0.101633912336388, 505.5865768468129
0.14517579227385427, 520.1117379333281
0.17112719632129375, 527.3742950343119
0.18991210614124002, 531.2849117203315
