x, y
0.00007216876941247665, 0
0.001984663871518636, 0.6070378211236762
0.005773565148489605, 1.7815250273673766
0.00952638355493271, 2.80425194771059
0.013351373759145019, 3.7478003348073647
0.018186735820202218, 4.717741935483871
0.021975643153886667, 5.337976640270603
0.023527288352216968, 5.562317017586
0.024357239799709027, 5.588709677419356
0.02518718519048761, 5.654691880749118
0.027893548869557964, 5.964809510015672
0.03280107970002764, 6.499266962851248
0.039548936863191, 7.027125973855297
0.046657640901773476, 7.383431311576597
0.054091111973603945, 7.581378475312265
0.0640505172300817, 7.686950222138436
0.07314388514018283, 7.700146552055114
