,filename,E,p1,p2,p3,p4
0,Shokrieh_2013,301.3255472839255,212.23642339909142,-4396.559182048355,45443.600940543656,-214587.96023084206
1,Yaghoubi_2022_200degC,46592.71612531744,7020.218840187881,-84845.92869191559,480791.3117266907,-999999.9999999999
2,Yaghoubi_2022_250degC,46611.7469021803,7355.609927110017,-91557.02632713979,505219.0123988495,-999999.9999999999
3,Yaghoubi_2022_25degC,54150.884093760345,4382.390752085315,-44171.91409415956,312310.2315917545,-999999.9999999999
